time,n_trips,avg_miles,avg_duration[s]
1327579200,26670.0,2.3452473,755.778
1327582800,25343.0,2.5058851,762.1578
1327586400,27051.0,2.6385195,802.5355
1327590000,25233.0,2.668589,829.6095
1327593600,20152.0,2.6436267,786.46515
1327597200,25189.0,2.5618136,818.2108
1327600800,31950.0,2.383335,770.27094
1327604400,35768.0,2.4268682,730.4478
1327608000,32982.0,2.6830766,700.7338
1327611600,32724.0,2.914237,690.89355
1327615200,31650.0,3.0422752,696.55066
1327618800,25976.0,3.16803,677.8029
1327622400,18126.0,3.27105,659.57996
1327626000,11575.0,3.2635343,628.8391
1327629600,7937.0,3.1877027,612.83026
1327633200,5265.0,3.426489,626.2811
1327636800,4248.0,4.3112445,681.55084
1327640400,4361.0,4.6214137,648.3513
1327644000,11886.0,3.0803068,583.3015
1327647600,23926.0,2.5524707,677.3017
1327651200,29669.0,2.359684,781.73425
1327654800,27601.0,2.2802954,764.69794
1327658400,26810.0,2.2284653,782.65265
1327662000,23285.0,2.3269334,779.6067
1327665600,24131.0,2.5050085,746.33075
1327669200,22934.0,2.6762729,742.7673
1327672800,25197.0,2.5906231,799.8449
1327676400,22307.0,2.7571185,833.65704
1327680000,19889.0,2.8863797,793.2896
1327683600,25403.0,2.6223028,785.6354
1327687200,31961.0,2.4909978,764.78644
1327690800,35552.0,2.5088418,717.5478
1327694400,33843.0,2.6182957,688.8642
1327698000,32083.0,2.7009897,671.606
1327701600,33484.0,2.784453,683.35956
1327705200,33345.0,2.9438725,705.0111
1327708800,30664.0,2.9649947,730.88885
1327712400,26278.0,3.0015337,690.427
1327716000,22245.0,3.1502528,680.73444
1327719600,17085.0,3.3352768,683.5243
1327723200,10657.0,3.7217689,700.7522
1327726800,4942.0,4.4903693,699.46295
1327730400,4733.0,4.2334433,647.3167
1327734000,7155.0,3.571635,582.157
1327737600,12226.0,2.9260318,560.0171
1327741200,16787.0,2.567083,560.9224
1327744800,20015.0,2.442255,579.1819
1327748400,23064.0,2.4552615,633.3966
1327752000,25090.0,2.3890955,670.2238
1327755600,25708.0,2.5036263,716.8858
1327759200,24944.0,2.514479,707.4936
1327762800,25410.0,2.5297356,710.6729
1327766400,23322.0,2.5183003,686.4137
1327770000,25670.0,2.4788384,706.9965
1327773600,31584.0,2.414562,730.0134
1327777200,33591.0,2.3847234,742.9928
1327780800,31217.0,2.4727774,732.101
1327784400,30309.0,2.5239084,711.437
